scenario,model,unit,inputHz,frameFps,requestedMs,actualMs,baselineEndDip,candidateEndDip,candidatePulsePeakDip,candidatePeakMs,candidateAfterPeakDip,candidateAfterPeakMs,candidateEvidenceEndMs,to1.25BMs,to2BMs,to90TargetMs
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,50,50,32,32,32,0,32,50,26.2508,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,80,79.1667,32,32,32,0,32,79.1667,52.1364,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,100,100,32,32,32,0,32,100,69.349,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,120,120.833,32,32,32,0,32,120.833,85.5669,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,150,150,32.0119,32.0119,32.0119,150,32.0119,150,106.71,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,200,200,32.8015,32.8015,32.8015,200,32.8015,200,139.097,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,250,250,35.7614,35.7614,35.7614,250,35.7614,250,167.173,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,300,300,41.3048,41.3048,41.3048,300,41.3048,300,191.511,291.667,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,500,500,82.0935,82.0935,82.0935,500,82.0935,500,240,291.667,420.833,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,IndirectDip,DIP/s,240,120,1000,1000,153.322,153.322,153.322,1000,153.322,1000,240,291.667,420.833,854.167
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,ScreenPenHybrid,mm/s,240,120,50,50,32,32,32,0,32,50,37.4812,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,ScreenPenHybrid,mm/s,240,120,80,79.1667,32.0153,32,32,0,32,79.1667,62.4689,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,ScreenPenHybrid,mm/s,240,120,100,100,32.2693,32,32,0,32,100,79.0844,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,ScreenPenHybrid,mm/s,240,120,120,120.833,33.4408,32.1423,32.1423,120.833,32.1423,120.833,94.7398,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,ScreenPenHybrid,mm/s,240,120,150,150,37.1074,33.0491,33.0491,150,33.0491,150,115.149,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,ScreenPenHybrid,mm/s,240,120,200,200,45.3882,38.0394,38.0394,200,38.0394,200,146.413,-1,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,ScreenPenHybrid,mm/s,240,120,250,250,55.7415,46.5392,46.5392,250,46.5392,250,173.515,216.667,-1,-1
synthetic-Surface-Laptop-28x19cm-2880x1920-192DPI-B32,ScreenPenHybrid,mm/s,240,120,300,300,69.0215,57.198,57.198,300,57.198,300,197.009,216.667,-1,-1
