scenario,model,speed,targetDip,controllerDip,equilibriumCapDip,evidenceSeconds
synthetic-Surface-Laptop-Touch-mm/s,DirectTouch,90.9,32.0049,32.0049,56.4103,0.120011
synthetic-Surface-Laptop-Touch-mm/s,DirectTouch,162.584,64,63.9991,160,0.18
synthetic-Surface-Laptop-Touch-mm/s,DirectTouch,234,152.95,152.947,160,0.18
synthetic-Surface-Laptop-Touch-mm/s,DirectTouch,275,160,160,160,0.18
synthetic-Classroom-LargeScreen-Touch-mm/s,DirectTouch,353.5,32.0021,32.0021,56.3977,0.120001
synthetic-Classroom-LargeScreen-Touch-mm/s,DirectTouch,780.969,64,63.9817,160,0.18
synthetic-Classroom-LargeScreen-Touch-mm/s,DirectTouch,1205,152.95,152.891,160,0.18
synthetic-Classroom-LargeScreen-Touch-mm/s,DirectTouch,1430,160,160,160,0.18
synthetic-LargeScreen-Touch-reference-DIP/s,DirectTouch,121.2,32.0028,32.0028,56.401,0.120003
synthetic-LargeScreen-Touch-reference-DIP/s,DirectTouch,247.022,64,63.9981,160,0.18
synthetic-LargeScreen-Touch-reference-DIP/s,DirectTouch,372,152.95,152.944,160,0.18
synthetic-LargeScreen-Touch-reference-DIP/s,DirectTouch,440,160,160,160,0.18
synthetic-Surface-ScreenPen-mm/s,ScreenPenHybrid,121.2,32.0047,32.0047,71.5788,0.139987
synthetic-Surface-ScreenPen-mm/s,ScreenPenHybrid,218.66,64,63.9983,160,0.2
synthetic-Surface-ScreenPen-mm/s,ScreenPenHybrid,327,160,160,160,0.2
synthetic-Surface-ScreenPen-mm/s,ScreenPenHybrid,385,160,160,160,0.2
synthetic-Laptop-ScreenPen-DIP/s,ScreenPenHybrid,484.8,32.0042,32.0041,71.5788,0.139987
synthetic-Laptop-ScreenPen-DIP/s,ScreenPenHybrid,897.359,64,63.9713,160,0.2
synthetic-Laptop-ScreenPen-DIP/s,ScreenPenHybrid,1308,152.95,152.872,160,0.2
synthetic-Laptop-ScreenPen-DIP/s,ScreenPenHybrid,1540,160,160,160,0.2
